category,italian,pronunciation,translation,examples
noun,tavolino,[таволи́но],столик,Al tavolino.
noun,tavolo,[та́воло],стол,Sul tavolo. Al tavolo.
noun,tazza,[та́цца],чашка,Una tazza di caffè.
pronoun,te,[те],тебе / тебя,Con te. Per te.
noun,telefono,[теле́фоно],телефон,Il telefono squilla.
noun,tempo,[те́мпо],время,Tanto tempo. Il tempo è bello.
verb,tenere,[тэнэ́ре],держать,Io tengo la mano. Tu tieni il bicchiere.
noun,testa,[те́ста],голова,La testa gira.
pronoun,ti,[ти],тебе / тебя,Ti piace. Ti vedo.
noun,tipo,[ти́по],тип / парень,Un tipo simpatico.
verb,tornare,[торна́ре],возвращаться,Io torno a casa. Tu torni presto.
adverb,totalmente,[тотальмэ́нте],полностью,Totalmente d’accordo.
preposition,tra,[тра],между,Tra poco. Tra amici.
noun,traduzione,[традуцьо́не],перевод,La traduzione è buona.
adjective,tranquillo,[транкуи́лло],спокойный,Sono tranquillo. La serata è tranquilla.
adverb,troppo,[тро́ппо],слишком,Troppo bello. Troppo tardi.
verb,trovare,[трова́ре],находить,Io trovo il posto. Tu trovi l’amico.
pronoun,tu,[ту],ты,Tu sei bello. Tu vieni?
noun,turista,[тури́ста],турист,Un turista romano.
adjective,tutto,[ту́тто],всё,Tutto bene. Tutto il giorno.
noun,tè,[те],чай,Un tè con limone.
adjective,ultimo,[у́льтимо],последний,L’ultimo momento. L’ultima sera.
article,un,[ун],неопределённый артикль (м.р.),Un caffè. Un amico. Un momento.
verb,uscire,[ушúре],выходить,Io esco. Tu esci con me.
adjective,vecchio,[ве́ккьо],старый,Il vecchio film.
verb,vedere,[ведэ́ре],видеть,Io vedo la piazza. Tu vedi il film.
noun,venerdì,[венэрдú],пятница,Venerdì sera.
adverb,veramente,[вераме́нте],действительно,Veramente bello. Veramente felice.
adjective,vero,[ве́ро],настоящий / правда,È vero. Un vero amico.
verb,versare,[верса́ре],наливать,Io verso il vino. Tu versi il caffè.
preposition,verso,[ве́рсо],в направлении,Verso casa. Verso la piazza.
adverb,via,[ви́а],улица / прочь,Via del Corso. Via!
adverb,vicino,[вичи́но],близко,Vicino a casa. Il bar è vicino.
noun,vicolo,[ви́коло],переулок,Nel vicolo.
noun,vino,[ви́но],вино,Un bicchiere di vino. Il vino rosso.
adverb,visibilmente,[визибильме́нте],visibly,Visibilmente emozionato.
verb,visitare,[визита́ре],посещать,Io visito Roma. Tu visiti Palermo.
noun,viso,[ви́зо],лицо,Il viso è luminoso.
verb,vivere,[ви́вере],жить,Io vivo a Roma. Tu vivi felice.
verb,volere,[воле́ре],хотеть,Io voglio. Tu vuoi venire.
noun,volta,[во́льта],раз,Una volta. Questa volta.
adjective,vostro,[во́стро],ваш,Il vostro amico. La vostra casa.
interjection,wow,[вау],вау,Wow! Che bello!
verb,è,[э],есть (3 л. ед. ч.),È bello. È tardi. È magico.
